Data,Hora,Tipo de ordem,Quantidade,Moeda,Quantidade USDT,Preco de compra,Preco de venda,Lucro/prejuizo,Variacao,Intervalo,Taxa de negociacao,Saldo USDT,Saldo final
2024-04-03,15:01:28,Compra,2.7056277056277054,ASRUSDT,10,3.696,,,18.15,03:38:23,0.0,88.65,98.65
2024-04-03,15:01:31,Compra,5.964807634953773,SYNUSDT,10,1.6765,,,13.66,03:38:23,0.0,78.65,98.65
2024-04-03,15:01:34,Compra,75.74609907589759,VIBUSDT,10,0.13202,,,13.66,03:38:23,0.0,68.65,98.65
2024-04-03,15:01:37,Compra,8.89679715302491,ENAUSDT,10,1.124,,,13.79,03:38:23,0.0,58.65,98.65
2024-04-03,21:33:50,Compra,3.037667071688943,GHSTUSDT,10,3.292,,,21.87,06:27:29,0.0,58.04,97.71000000000001
2024-04-03,21:33:53,Compra,2.6997840172786174,BARUSDT,10,3.704,,,9.02,10:10:52,0.0,48.04,97.71
