Data,Hora,Tipo de ordem,Quantidade,Moeda,Quantidade USDT,Preco de compra,Preco de venda,Lucro/prejuizo,Variacao,Intervalo,Taxa de negociacao,Saldo USDT,Saldo final
2024-02-20,12:18:12,Compra,76804.91551459294,WINUSDT,10,0.0001302,,,10.22,00:15:00,0.0,90.0,100.0
2024-02-20,12:23:14,Venda,76804.91551459294,WINUSDT,9.71,0.0001302,0.0001264,-0.28999999999999915,-3.01,00:05:02,0.0,99.71,99.71
2024-02-20,12:43:13,Compra,9.041591320072332,ARKMUSDT,10,1.106,,,9.03,01:00:01,0.0,89.71,99.71
2024-02-20,13:03:16,Venda,9.041591320072332,ARKMUSDT,9.64,1.106,1.0666,-0.35999999999999943,-3.69,00:20:03,0.0,99.35,99.35
2024-02-20,13:53:13,Compra,74074.07407407407,WINUSDT,10,0.000135,,,10.59,01:00:01,0.0,89.35,99.35
2024-02-20,13:58:14,Venda,74074.07407407407,WINUSDT,9.7,0.000135,0.0001309,-0.3000000000000007,-3.13,00:05:01,0.0,99.05,99.05
2024-02-20,21:48:14,Compra,24.588148512417014,GLMUSDT,10,0.4067,,,12.98,01:00:00,0.0,89.05,99.05
2024-02-20,22:18:14,Venda,24.588148512417014,GLMUSDT,9.7,0.4067,0.3944,-0.3000000000000007,-3.12,00:30:00,0.0,98.75,98.75
