Data,Hora,Tipo de ordem,Quantidade,Moeda,Quantidade USDT,Preco de compra,Preco de venda,Lucro/prejuizo,Variacao,Intervalo,Taxa de negociacao,Saldo USDT,Saldo final
2024-02-19,08:06:13,Compra,1720.8742040956806,VTHOUSDT,10,0.005811,,,10.07,00:10:00,0.0,20.0,30.0
2024-02-19,08:18:13,Venda,1720.8742040956806,VTHOUSDT,9.69,0.005811,0.005631,-0.3100000000000005,-3.20,00:12:00,0.0,29.69,29.69
2024-02-19,09:26:14,Compra,216.7316861725184,SNTUSDT,10,0.04614,,,8.99,00:30:00,0.0,19.69,29.69
2024-02-19,09:52:12,Venda,216.7316861725184,SNTUSDT,9.91,0.04614,0.04571,-0.08999999999999986,-0.94,00:25:58,0.0,29.6,29.6
2024-02-19,10:04:13,Compra,20.296326364927946,SCRTUSDT,10,0.4927,,,10.11,01:00:00,0.0,19.6,29.6
2024-02-19,10:08:13,Venda,20.296326364927946,SCRTUSDT,9.68,0.4927,0.4769,-0.3200000000000003,-3.31,00:04:00,0.0,29.28,29.28
2024-02-19,10:40:13,Compra,19.41747572815534,PIXELUSDT,10,0.515,,,8.91,00:59:59,0.0,19.28,29.28
2024-02-19,10:44:13,Venda,19.41747572815534,PIXELUSDT,9.75,0.515,0.502,-0.25,-2.59,00:04:00,0.0,29.03,29.03
2024-02-19,11:04:14,Compra,6.466423098063306,PERPUSDT,10,1.54645,,,8.36,00:29:59,0.0,19.03,29.03
2024-02-19,11:16:14,Venda,6.466423098063306,PERPUSDT,9.67,1.54645,1.49533,-0.33000000000000007,-3.42,00:12:00,0.0,28.7,28.7
2024-02-19,12:52:14,Compra,17.624250969333804,PIXELUSDT,10,0.5674,,,9.27,01:00:01,0.0,18.7,28.7
2024-02-19,13:12:14,Venda,17.624250969333804,PIXELUSDT,10.14,0.5674,0.5754,0.14000000000000057,1.39,00:20:00,0.0,28.84,28.84
2024-02-19,13:40:13,Compra,14.579384749963552,PIXELUSDT,10,0.6859,,,10.50,00:14:00,0.0,18.84,28.84
2024-02-19,13:44:13,Venda,14.579384749963552,PIXELUSDT,9.54,0.6859,0.6546,-0.46000000000000085,-4.78,00:04:00,0.0,28.38,28.38
2024-02-19,16:46:38,Compra,3946.329913180742,HOTUSDT,10,0.002534,,,9.19,01:28:23,0.0,18.38,28.38
2024-02-19,17:02:13,Venda,3946.329913180742,HOTUSDT,9.79,0.002534,0.00248,-0.21000000000000085,-2.18,00:15:35,0.0,28.17,28.17
2024-02-19,21:36:14,Compra,14.302673169615401,IDUSDT,10,0.69917,,,10.34,00:29:59,0.0,18.17,28.17
2024-02-19,21:44:14,Venda,14.302673169615401,IDUSDT,9.79,0.69917,0.68441,-0.21000000000000085,-2.16,00:08:00,0.0,27.96,27.96
2024-02-19,22:38:15,Compra,37.02332469455757,GLMUSDT,10,0.2701,,,7.89,01:00:00,0.0,17.96,27.96
2024-02-19,22:50:15,Venda,37.02332469455757,GLMUSDT,9.78,0.2701,0.2641,-0.22000000000000064,-2.27,00:12:00,0.0,27.74,27.74
2024-02-19,23:02:14,Compra,121.78784557301181,MDTUSDT,10,0.08211,,,9.78,00:30:00,0.0,17.74,27.74
2024-02-19,23:12:15,Venda,121.78784557301181,MDTUSDT,10.18,0.08211,0.08357,0.17999999999999972,1.75,00:10:01,0.0,27.92,27.92
