Data,Hora,Tipo de ordem,Quantidade,Moeda,Quantidade USDT,Preco de compra,Preco de venda,Lucro/prejuizo,Variacao,Intervalo,Taxa de negociacao,Saldo USDT,Saldo final
2024-02-16,13:06:13,Compra,142.45014245014247,TRUUSDT,10,0.0702,,,9.36,00:59:54,0.0,20.0,30.0
2024-02-16,13:06:16,Compra,0.6983240223463687,LPTUSDT,10,14.32,,,12.71,00:59:54,0.0,10.0,30.0
2024-02-16,13:12:13,Venda,0.6983240223463687,LPTUSDT,9.92,14.32,14.2,-0.08000000000000007,-0.85,00:05:57,0.0,19.92,30.01
2024-02-16,13:14:13,Venda,142.45014245014247,TRUUSDT,9.86,0.0702,0.06921,-0.14000000000000057,-1.43,00:08:00,0.0,29.78,29.78
2024-02-16,13:30:13,Compra,271.8868950516585,DOCKUSDT,10,0.03678,,,13.08,00:03:59,0.0,19.78,29.78
2024-02-16,13:36:12,Venda,271.8868950516585,DOCKUSDT,11.41,0.03678,0.04197,1.4100000000000001,12.37,00:05:59,0.0,31.19,31.19
2024-02-16,14:22:13,Compra,1.9098548510313218,SANTOSUSDT,10,5.236,,,9.78,00:30:00,0.0,21.19,31.19
2024-02-16,14:28:13,Venda,1.9098548510313218,SANTOSUSDT,9.74,5.236,5.1,-0.2599999999999998,-2.67,00:06:00,0.0,30.93,30.93
2024-02-16,14:56:13,Compra,1170.9601873536299,SUNUSDT,10,0.00854,,,8.78,01:00:00,0.0,20.93,30.93
