Data,Hora,Tipo de ordem,Quantidade,Moeda,Quantidade USDT,Preco de compra,Preco de venda,Lucro/prejuizo,Variacao,Intervalo,Taxa de negociacao,Saldo USDT,Saldo final
2024-02-06,08:55:05,Compra,10233.319688907082,CKBUSDT,50.0,0.004886,,,13.26,15:48:51,0.0,950.0,1000.0
2024-02-06,08:55:08,Compra,2.235136343316942,ENSUSDT,50.0,22.37,,,10.15,15:48:51,0.0,900.0,1000.0
2024-02-06,14:10:16,Compra,8.347245409015025,DYMUSDT,45.0,5.391,,,12.06,00:05:00,0.0,855.0,1001.9300000000001
2024-02-06,14:15:19,Venda,8.347245409015025,DYMUSDT,40.51,5.391,4.853,-4.490000000000002,-11.09,00:05:03,0.0,895.51,997.44
2024-02-06,14:30:16,Venda,2.235136343316942,ENSUSDT,50.02,22.37,22.38,0.020000000000003126,0.04,05:35:08,0.0,945.53,996.61
2024-02-06,14:50:14,Venda,10233.319688907082,CKBUSDT,50.78,0.004886,0.004962,0.7800000000000011,1.53,05:55:09,0.0,996.31,996.31
2024-02-06,16:55:15,Compra,9.458895006645148,DYMUSDT,49.82,5.267,,,11.39,01:00:01,0.0,946.49,996.3100000000001
2024-02-06,17:10:14,Venda,9.458895006645148,DYMUSDT,56.98,5.267,6.024,7.159999999999997,12.57,00:14:59,0.0,1003.47,1003.47
2024-02-06,17:10:17,Compra,8.32835325365206,DYMUSDT,50.17,6.024,,,12.57,00:14:59,0.0,953.3,1003.4699999999999
2024-02-06,17:45:13,Venda,8.32835325365206,DYMUSDT,46.75,6.024,5.613,-3.4200000000000017,-7.32,00:34:56,0.0,1000.05,1000.05
2024-02-06,23:20:13,Compra,39.96802557953637,GTCUSDT,50.0,1.251,,,10.07,00:30:01,0.0,950.05,1000.05
2024-02-06,23:30:14,Venda,39.96802557953637,GTCUSDT,50.48,1.251,1.263,0.4799999999999969,0.95,00:10:01,0.0,1000.53,1000.53
2024-02-06,23:30:17,Compra,39.61203483768805,GTCUSDT,50.03,1.263,,,10.53,00:15:01,0.0,950.5,1000.53
