Data,Hora,Tipo de ordem,Quantidade,Moeda,Quantidade USDT,Preco de compra,Preco de venda,Lucro/prejuizo,Variacao,Intervalo,Taxa de negociacao,Saldo USDT,Saldo final
2024-02-05,06:26:16,Compra,223.17731773177317,WRXUSDT,49.59,0.2222,,,10.89,00:30:01,0.0,942.31,991.9
2024-02-05,07:06:14,Venda,223.17731773177317,WRXUSDT,46.53,0.2222,0.2085,-3.0600000000000023,-6.57,00:39:58,0.0,988.84,988.84
2024-02-05,07:26:32,Compra,141.37832427795252,TKOUSDT,49.44,0.3497,,,5.80,01:00:16,0.0,939.4,988.8399999999999
2024-02-05,09:21:16,Compra,47928571.42857143,PEPEUSDT,46.97,9.8e-07,,,6.12,00:29:59,0.0,892.43,987.89
2024-02-05,10:51:14,Compra,27.222256116161308,SUIUSDT,44.62,1.6391,,,5.48,00:30:00,0.0,847.81,986.0
2024-02-05,11:11:16,Compra,0.1806135492117597,GNOUSDT,42.39,234.7,,,5.58,01:00:01,0.0,805.42,986.36
2024-02-05,11:11:19,Compra,2.2032224532224536,ENSUSDT,42.39,19.24,,,5.56,01:00:01,0.0,763.03,986.36
2024-02-05,11:31:15,Compra,384.1893252769386,ACAUSDT,38.15,0.0993,,,5.44,00:04:59,0.0,724.88,983.42
2024-02-05,12:21:16,Venda,47928571.42857143,PEPEUSDT,44.57,9.8e-07,9.3e-07,-2.3999999999999986,-5.38,03:00:00,0.0,769.45,981.54
2024-02-05,13:06:15,Compra,231.4959682272235,OMUSDT,38.47,0.16618,,,5.60,00:29:59,0.0,730.98,981.75
2024-02-05,13:41:13,Compra,172.89498580889307,WRXUSDT,36.55,0.2114,,,4.87,01:00:00,0.0,694.43,982.1199999999999
2024-02-05,14:11:21,Compra,15.78181818181818,ERNUSDT,34.72,2.2,,,5.23,01:00:00,0.0,659.71,980.9200000000001
2024-02-05,15:16:14,Venda,2.2032224532224536,ENSUSDT,44.66,19.24,20.27,2.269999999999996,5.08,04:04:55,0.0,704.37,980.7099999999999
2024-02-05,15:36:17,Venda,141.37832427795252,TKOUSDT,47.08,0.3497,0.333,-2.3599999999999994,-5.02,08:09:45,0.0,751.45,979.35
2024-02-05,16:26:15,Venda,231.4959682272235,OMUSDT,36.58,0.16618,0.158,-1.8900000000000006,-5.18,03:20:00,0.0,788.03,982.49
2024-02-05,16:26:18,Venda,384.1893252769386,ACAUSDT,40.49,0.0993,0.1054,2.3400000000000034,5.79,04:55:03,0.0,828.52,983.29
2024-02-05,16:26:21,Compra,393.07400379506646,ACAUSDT,41.43,0.1054,,,7.12,00:14:59,0.0,787.09,983.86
