Data,Hora,Tipo de ordem,Quantidade,Moeda,Quantidade USDT,Preco de compra,Preco de venda,Lucro/prejuizo,Variacao,Intervalo,Taxa de negociacao,Saldo USDT,Saldo final
2024-02-08,02:25:15,Compra,53591397.84946237,BTTCUSDT,49.84,9.3e-07,,,12.90,00:29:59,0.0,946.99,996.83
2024-02-08,03:05:16,Venda,53591397.84946237,BTTCUSDT,57.34,9.3e-07,1.07e-06,7.5,13.08,00:40:01,0.0,1004.33,1004.33
2024-02-08,03:05:19,Compra,46934579.43925234,BTTCUSDT,50.22,1.07e-06,,,20.56,01:00:00,0.0,954.11,1004.33
2024-02-08,03:45:16,Venda,46934579.43925234,BTTCUSDT,51.16,1.07e-06,1.09e-06,0.9399999999999977,1.83,00:39:57,0.0,1005.27,1005.27
2024-02-08,08:05:15,Compra,5615.6424581005585,AMBUSDT,50.26,0.00895,,,10.17,00:59:59,0.0,955.01,1005.27
2024-02-08,08:30:16,Venda,5615.6424581005585,AMBUSDT,47.85,0.00895,0.00852,-2.4099999999999966,-5.05,00:25:01,0.0,1002.86,1002.86
2024-02-08,10:30:15,Compra,234.29906542056077,OMUSDT,50.14,0.214,,,10.41,01:00:00,0.0,952.72,1002.86
2024-02-08,10:40:16,Venda,234.29906542056077,OMUSDT,51.65,0.214,0.22046,1.509999999999998,2.93,00:10:01,0.0,1004.37,1004.37
2024-02-08,13:35:16,Compra,6.316186643189536,DYMUSDT,50.22,7.951,,,10.79,01:00:01,0.0,954.15,1004.37
2024-02-08,16:35:16,Venda,6.316186643189536,DYMUSDT,50.4,7.951,7.979,0.17999999999999972,0.35,03:00:00,0.0,1004.55,1004.55
2024-02-08,23:35:16,Compra,77.98478497127775,IDUSDT,50.23,0.6441,,,10.96,00:30:01,0.0,954.32,1004.5500000000001
