Data,Hora,Tipo de ordem,Quantidade,Moeda,Quantidade USDT,Preco de compra,Preco de venda,Lucro/prejuizo,Variacao,Intervalo,Taxa de negociacao,Saldo USDT,Saldo final
2024-02-03,07:21:15,Compra,22.727272727272727,ERNUSDT,50.0,2.2,,,11.09,01:00:01,0.0,950.0,1000.0
2024-02-03,07:46:15,Venda,22.727272727272727,ERNUSDT,47.5,2.2,2.09,-2.5,-5.26,00:25:00,0.0,997.5,997.5
2024-02-03,14:41:14,Compra,14.952038369304558,CVXUSDT,49.88,3.336,,,10.25,00:30:00,0.0,947.62,997.5
2024-02-03,16:01:13,Venda,14.952038369304558,CVXUSDT,47.22,3.336,3.158,-2.6600000000000037,-5.64,01:19:59,0.0,994.84,994.84
