Data,Hora,Tipo de ordem,Quantidade,Moeda,Quantidade USDT,Preco de compra,Preco de venda,Lucro/prejuizo,Variacao,Intervalo,Taxa de negociacao,Saldo USDT,Saldo final
2024-02-09,03:35:14,Compra,172.19355537112546,OMUSDT,47.72,0.27713,,,11.48,01:00:00,0.0,906.6,1002.34
2024-02-09,03:50:16,Venda,172.19355537112546,OMUSDT,48.97,0.27713,0.28438,1.25,2.55,00:15:02,0.0,955.57,1003.8100000000001
2024-02-09,03:50:19,Compra,168.01462831422742,OMUSDT,47.78,0.28438,,,12.50,01:00:01,0.0,907.79,1003.79
2024-02-09,03:55:14,Venda,77.98478497127775,IDUSDT,47.78,0.6441,0.61273,-2.4499999999999957,-5.12,04:19:58,0.0,955.57,1002.1600000000001
2024-02-09,03:55:17,Compra,1446125.9079903148,FLOKIUSDT,47.78,3.304e-05,,,10.71,00:59:59,0.0,907.79,1002.16
2024-02-09,04:40:14,Venda,1446125.9079903148,FLOKIUSDT,45.31,3.304e-05,3.133e-05,-2.469999999999999,-5.46,00:44:57,0.0,953.1,1001.23
2024-02-09,05:15:16,Venda,168.01462831422742,OMUSDT,56.24,0.28438,0.33475,8.46,15.05,01:24:57,0.0,1009.34,1009.34
2024-02-09,05:15:19,Compra,150.76923076923077,OMUSDT,50.47,0.33475,,,13.07,00:30:01,0.0,958.87,1009.34
2024-02-09,05:35:15,Venda,150.76923076923077,OMUSDT,47.59,0.33475,0.31568,-2.8799999999999955,-6.04,00:19:56,0.0,1006.46,1006.46
2024-02-09,06:10:16,Compra,553.0885908990987,COTIUSDT,50.32,0.09098,,,10.53,00:59:59,0.0,956.14,1006.46
2024-02-09,06:25:16,Venda,553.0885908990987,COTIUSDT,54.53,0.09098,0.09859,4.210000000000001,7.72,00:15:00,0.0,1010.67,1010.67
2024-02-09,06:25:19,Compra,512.5266254183995,COTIUSDT,50.53,0.09859,,,10.89,00:30:00,0.0,960.14,1010.67
2024-02-09,07:45:13,Venda,512.5266254183995,COTIUSDT,53.23,0.09859,0.10385,2.6999999999999957,5.06,01:19:54,0.0,1013.37,1013.37
2024-02-09,09:55:15,Compra,1500.4441812259402,FIOUSDT,50.67,0.03377,,,11.43,00:09:59,0.0,962.7,1013.37
2024-02-09,10:05:14,Venda,1500.4441812259402,FIOUSDT,50.99,0.03377,0.03398,0.3200000000000003,0.62,00:09:59,0.0,1013.69,1013.69
2024-02-09,12:50:17,Compra,1403.8781163434903,FIOUSDT,50.68,0.0361,,,12.69,01:00:00,0.0,963.01,1013.6899999999999
2024-02-09,13:05:17,Venda,1403.8781163434903,FIOUSDT,59.19,0.0361,0.04216,8.509999999999998,14.37,00:15:00,0.0,1022.2,1022.2
2024-02-09,13:30:14,Compra,1547.8497880072682,IRISUSDT,51.11,0.03302,,,11.08,00:10:00,0.0,971.09,1022.2
2024-02-09,13:35:16,Venda,1547.8497880072682,IRISUSDT,48.53,0.03302,0.03135,-2.5799999999999983,-5.33,00:05:02,0.0,1019.62,1019.62
2024-02-09,14:00:16,Compra,1139.4725078229771,FIOUSDT,50.98,0.04474,,,10.26,00:30:01,0.0,968.64,1019.62
2024-02-09,14:15:15,Venda,1139.4725078229771,FIOUSDT,47.58,0.04474,0.04176,-3.3999999999999986,-7.14,00:14:59,0.0,1016.22,1016.22
2024-02-09,17:05:16,Compra,1070.5857564264643,FIOUSDT,50.81,0.04746,,,13.57,01:04:59,0.0,965.41,1016.22
2024-02-09,17:35:16,Venda,1070.5857564264643,FIOUSDT,52.05,0.04746,0.04862,1.240000000000002,2.39,00:30:00,0.0,1017.46,1017.46
2024-02-09,17:55:15,Compra,1406.0254284134883,VIDTUSDT,50.87,0.03618,,,10.36,00:09:59,0.0,966.59,1017.46
2024-02-09,18:10:15,Venda,1406.0254284134883,VIDTUSDT,51.62,0.03618,0.03671,0.7499999999999929,1.44,00:15:00,0.0,1018.21,1018.21
2024-02-09,18:20:16,Compra,472.7019498607242,REQUSDT,50.91,0.1077,,,10.58,00:05:00,0.0,967.3,1018.2099999999999
2024-02-09,18:50:14,Venda,472.7019498607242,REQUSDT,50.86,0.1077,0.1076,-0.04999999999999716,-0.09,00:29:58,0.0,1018.16,1018.16
