Data,Hora,Tipo de ordem,Quantidade,Moeda,Quantidade USDT,Preco de compra,Preco de venda,Lucro/prejuizo,Variacao,Intervalo,Taxa de negociacao,Saldo USDT,Saldo final
2024-02-15,18:02:13,Compra,6.134969325153374,ORNUSDT,10,1.63,,,9.91,01:04:01,0.0,20.0,30.0
2024-02-15,18:24:13,Venda,6.134969325153374,ORNUSDT,11.02,1.63,1.796,1.0199999999999996,9.24,00:22:00,0.0,31.02,31.02
2024-02-15,18:36:14,Compra,37735.84905660377,EPXUSDT,10,0.000265,,,11.06,00:10:00,0.0,21.02,31.02
2024-02-15,18:52:14,Venda,37735.84905660377,EPXUSDT,11.55,0.000265,0.000306,1.5500000000000007,13.40,00:16:00,0.0,32.57,32.57
2024-02-15,19:04:14,Compra,30330.603579011222,EPXUSDT,10,0.0003297,,,11.40,00:10:01,0.0,22.57,32.57
2024-02-15,19:08:13,Venda,30330.603579011222,EPXUSDT,9.71,0.0003297,0.00032,-0.28999999999999915,-3.03,00:03:59,0.0,32.28,32.28
2024-02-15,21:26:13,Compra,5.12321327936882,ORNUSDT,10,1.9519,,,10.08,00:30:00,0.0,22.28,32.28
2024-02-15,21:28:14,Venda,5.12321327936882,ORNUSDT,9.78,1.9519,1.9088,-0.22000000000000064,-2.26,00:02:01,0.0,32.06,32.06
2024-02-15,21:58:13,Compra,40.38772213247173,RIFUSDT,10,0.2476,,,11.27,00:10:00,0.0,22.06,32.06
2024-02-15,22:04:14,Venda,40.38772213247173,RIFUSDT,9.71,0.2476,0.2405,-0.28999999999999915,-2.95,00:06:01,0.0,31.77,31.77
2024-02-15,22:20:13,Compra,2.0903010033444818,BADGERUSDT,10,4.784,,,10.43,00:29:59,0.0,21.77,31.77
2024-02-15,22:32:13,Venda,2.0903010033444818,BADGERUSDT,9.86,4.784,4.719,-0.14000000000000057,-1.38,00:12:00,0.0,31.63,31.63
2024-02-15,23:02:14,Compra,33433.63423604146,EPXUSDT,10,0.0002991,,,10.23,00:10:00,0.0,21.63,31.63
2024-02-15,23:12:14,Venda,33433.63423604146,EPXUSDT,10.43,0.0002991,0.000312,0.4299999999999997,4.13,00:10:00,0.0,32.06,32.06
